Species,Type,Ability,HP,Atk,Def,SpA,SpD,Spe,Total
323,Camerupt,Fire/Ground,Magma Armor/Solid Rock/Anger Point,70,100,70,105,75,40,460
324,Torkoal,Fire,White Smoke/Shell Armor,70,85,140,85,70,20,470
325,Spoink,Psychic,Thick Fat/Own Tempo/Gluttony,60,25,35,70,80,60,330
326,Grumpig,Psychic,Thick Fat/Own Tempo/Gluttony,80,45,65,90,110,80,470
327,Spinda,Normal,Own Tempo/Tangled Feet/Contrary,60,60,60,60,60,60,360
328,Trapinch,Ground,Hyper Cutter/Arena Trap/Sheer Force,45,100,45,45,45,10,290
329,Vibrava,Ground/Dragon,Levitate,50,70,50,50,50,70,340
330,Flygon,Ground/Dragon,Levitate,80,100,80,80,80,100,520
331,Cacnea,Grass,Sand Veil/Water Absorb,50,85,40,85,40,35,335
332,Cacturne,Grass/Dark,Sand Veil/Water Absorb,70,115,60,115,60,55,475
333,Swablu,Normal/Flying,Natural Cure/Cloud Nine,45,40,60,40,75,50,310
334,Altaria,Dragon/Flying,Natural Cure/Cloud Nine,75,70,90,70,105,80,490
335,Zangoose,Normal,Immunity/Toxic Boost,73,115,60,60,60,90,458
336,Seviper,Poison,Shed Skin/Infiltrator,73,100,60,100,60,65,458
337,Lunatone,Rock/Psychic,Levitate,70,55,65,95,85,70,440
338,Solrock,Rock/Psychic,Levitate,70,95,85,55,65,70,440
339,Barboach,Water/Ground,Oblivious/Anticipation/Hydration,50,48,43,46,41,60,288
340,Whiscash,Water/Ground,Oblivious/Anticipation/Hydration,110,78,73,76,71,60,468
341,Corphish,Water,Hyper Cutter/Shell Armor/Adaptability,43,80,65,50,35,35,308
342,Crawdaunt,Water/Dark,Hyper Cutter/Shell Armor/Adaptability,63,120,85,90,55,55,468
343,Baltoy,Ground/Psychic,Levitate,40,40,55,40,70,55,300
344,Claydol,Ground/Psychic,Levitate,60,70,105,70,120,75,500
345,Lileep,Rock/Grass,Suction Cups/Storm Drain,66,41,77,61,87,23,355
346,Cradily,Rock/Grass,Suction Cups/Storm Drain,86,81,97,81,107,43,495
347,Anorith,Rock/Bug,Battle Armor/Swift Swim,45,95,50,40,50,75,355
348,Armaldo,Rock/Bug,Battle Armor/Swift Swim,75,125,100,70,80,45,495
349,Feebas,Water,Swift Swim/Adaptability,20,15,20,10,55,80,200
350,Milotic,Water,Marvel Scale/Cute Charm,95,60,79,100,125,81,540
351,Castform,Normal,Forecast,70,70,70,70,70,70,420
352,Kecleon,Normal,Color Change,60,90,70,60,120,40,440
353,Shuppet,Ghost,Insomnia/Frisk/Cursed Body,44,75,35,63,33,45,295
354,Banette,Ghost,Insomnia/Frisk/Cursed Body,64,115,65,83,63,65,455
355,Duskull,Ghost,Levitate,20,40,90,30,90,25,295
356,Dusclops,Ghost,Pressure,40,70,130,60,130,25,455
357,Tropius,Grass/Flying,Chlorophyll/Solar Power/Harvest,99,68,83,72,87,51,460
358,Chimecho,Psychic,Levitate,65,50,70,95,80,65,425
359,Absol,Dark,Pressure/Super Luck/Justified,65,130,60,75,60,75,465
360,Wynaut,Psychic,Shadow Tag/Telepathy,95,23,48,23,48,23,260
361,Snorunt,Ice,Inner Focus/Ice Body/Moody,50,50,50,50,50,50,300
362,Glalie,Ice,Inner Focus/Ice Body/Moody,80,80,80,80,80,80,480
363,Spheal,Ice/Water,Thick Fat/Ice Body/Oblivious,70,40,50,55,50,25,290
364,Sealeo,Ice/Water,Thick Fat/Ice Body/Oblivious,90,60,70,75,70,45,410
365,Walrein,Ice/Water,Thick Fat/Ice Body/Oblivious,110,80,90,95,90,65,530
366,Clamperl,Water,Shell Armor/Rattled,35,64,85,74,55,32,345
367,Huntail,Water,Swift Swim/Water Veil,55,104,105,94,75,52,485
368,Gorebyss,Water,Swift Swim/Hydration,55,84,105,114,75,52,485
369,Relicanth,Water/Rock,Swift Swim/Rock Head/Sturdy,100,90,130,45,65,55,485
370,Luvdisc,Water,Swift Swim/Hydration,43,30,55,40,65,97,330
371,Bagon,Dragon,Rock Head/Sheer Force,45,75,60,40,30,50,300
372,Shelgon,Dragon,Rock Head/Overcoat,65,95,100,60,50,50,420
373,Salamence,Dragon/Flying,Intimidate/Moxie,95,135,80,110,80,100,600
374,Beldum,Steel/Psychic,Clear Body/Light Metal,40,55,80,35,60,30,300
375,Metang,Steel/Psychic,Clear Body/Light Metal,60,75,100,55,80,50,420
376,Metagross,Steel/Psychic,Clear Body/Light Metal,80,135,130,95,90,70,600
377,Regirock,Rock,Clear Body/Sturdy,80,100,200,50,100,50,580
378,Regice,Ice,Clear Body/Ice Body,80,50,100,100,200,50,580
379,Registeel,Steel,Clear Body/Light Metal,80,75,150,75,150,50,580
380,Latias,Dragon/Psychic,Levitate,80,80,90,110,130,110,600
381,Latios,Dragon/Psychic,Levitate,80,90,80,130,110,110,600
382,Kyogre,Water,Drizzle,100,100,90,150,140,90,670
383,Groudon,Ground,Drought,100,150,140,100,90,90,670
384,Rayquaza,Dragon/Flying,Air Lock,105,150,90,150,90,95,680
385,Jirachi,Steel/Psychic,Serene Grace,100,100,100,100,100,100,600
386A,Deoxys,Psychic,Pressure,50,150,50,150,50,150,600
386B,Deoxys-A,Psychic,Pressure,50,180,20,180,20,150,600
386C,Deoxys-D,Psychic,Pressure,50,70,160,70,160,90,600
386D,Deoxys-S,Psychic,Pressure,50,95,90,95,90,180,600
387,Turtwig,Grass,Overgrow/Shell Armor,55,68,64,45,55,31,318
388,Grotle,Grass,Overgrow/Shell Armor,75,89,85,55,65,36,405
389,Torterra,Grass/Ground,Overgrow/Shell Armor,95,109,105,75,85,56,525
390,Chimchar,Fire,Blaze/Iron Fist,44,58,44,58,44,61,309
391,Monferno,Fire/Fighting,Blaze/Iron Fist,64,78,52,78,52,81,405
392,Infernape,Fire/Fighting,Blaze/Iron Fist,76,104,71,104,71,108,534
393,Piplup,Water,Torrent/Defiant,53,51,53,61,56,40,314
394,Prinplup,Water,Torrent/Defiant,64,66,68,81,76,50,405
395,Empoleon,Water/Steel,Torrent/Defiant,84,86,88,111,101,60,530
396,Starly,Normal/Flying,Keen Eye,40,55,30,30,30,60,245
397,Staravia,Normal/Flying,Intimidate/Reckless,55,75,50,40,40,80,340
398,Staraptor,Normal/Flying,Intimidate/Reckless,85,120,70,50,50,100,475
399,Bidoof,Normal,Simple/Unaware/Moody,59,45,40,35,40,31,250
400,Bibarel,Normal/Water,Simple/Unaware/Moody,79,85,60,55,60,71,410
401,Kricketot,Bug,Shed Skin/Run Away,37,25,41,25,41,25,194
402,Kricketune,Bug,Swarm/Technician,77,85,51,55,51,65,384
403,Shinx,Electric,Rivalry/Intimidate/Guts,45,65,34,40,34,45,263
404,Luxio,Electric,Rivalry/Intimidate/Guts,60,85,49,60,49,60,363
405,Luxray,Electric,Rivalry/Intimidate/Guts,80,120,79,95,79,70,523
406,Budew,Grass/Poison,Natural Cure/Poison Point/Leaf Guard,40,30,35,50,70,55,280
407,Roserade,Grass/Poison,Natural Cure/Poison Point/Technician,60,70,55,125,105,90,505
408,Cranidos,Rock,Mold Breaker/Sheer Force,67,125,40,30,30,58,350
409,Rampardos,Rock,Mold Breaker/Sheer Force,97,165,60,65,50,58,495
410,Shieldon,Rock/Steel,Sturdy/Soundproof,30,42,118,42,88,30,350
411,Bastiodon,Rock/Steel,Sturdy/Soundproof,60,52,168,47,138,30,495
412,Burmy,Bug,Shed Skin/Overcoat,40,29,45,29,45,36,224
413A,Wormadam-P,Bug/Grass,Anticipation/Overcoat,60,59,85,79,105,36,424
413B,Wormadam-S,Bug/Ground,Anticipation/Overcoat,60,79,105,59,85,36,424
413C,Wormadam-T,Bug/Grass,Anticipation/Overcoat,60,69,95,69,95,36,424
414,Mothim,Bug/Flying,Swarm/Tinted Lens,70,94,50,94,50,66,424
415,Combee,Bug/Flying,Honey Gather/Hustle,30,30,42,30,42,70,244
416,Vespiquen,Bug/Flying,Pressure/Unnerve,70,80,102,80,102,40,474
417,Pachirisu,Electric,Run Away/Pickup/Volt Absorb,60,45,70,45,90,95,405
418,Buizel,Water,Swift Swim/Water Veil,55,65,35,60,30,85,330
419,Floatzel,Water,Swift Swim/Water Veil,85,105,55,85,50,115,495
420,Cherubi,Grass,Chlorophyll,45,35,45,62,53,35,275
421,Cherrim,Grass,Flower Gift,70,60,70,87,78,85,450
422,Shellos,Water,Sticky Hold/Storm Drain/Sand Force,76,48,48,57,62,34,325
423,Gastrodon,Water/Ground,Sticky Hold/Storm Drain/Sand Force,111,83,68,92,82,39,475
424,Ambipom,Normal,Technician/Pickup/Skill Link,75,100,66,60,66,115,482
425,Drifloon,Ghost/Flying,Aftermath/Unburden/Flare Boost,90,50,34,60,44,70,348
426,Drifblim,Ghost/Flying,Aftermath/Unburden/Flare Boost,150,80,44,90,54,80,498
427,Buneary,Normal,Run Away/Klutz/Limber,55,66,44,44,56,85,350
428,Lopunny,Normal,Cute Charm/Klutz/Limber,65,76,84,54,96,105,480
429,Mismagius,Ghost,Levitate,60,60,60,105,105,105,495
430,Honchkrow,Dark/Flying,Insomnia/Super Luck/Moxie,100,125,52,105,52,71,505
431,Glameow,Normal,Limber/Own Tempo/Keen Eye,49,55,42,42,37,85,310
432,Purugly,Normal,Thick Fat/Own Tempo/Defiant,71,82,64,64,59,112,452
433,Chingling,Psychic,Levitate,45,30,50,65,50,45,285
434,Stunky,Poison/Dark,Stench/Aftermath/Keen Eye,63,63,47,41,41,74,329
435,Skuntank,Poison/Dark,Stench/Aftermath/Keen Eye,103,93,67,71,61,84,479
436,Bronzor,Steel/Psychic,Levitate/Heatproof/Heavy Metal,57,24,86,24,86,23,300
437,Bronzong,Steel/Psychic,Levitate/Heatproof/Heavy Metal,67,89,116,79,116,33,500
438,Bonsly,Rock,Sturdy/Rock Head/Rattled,50,80,95,10,45,10,290
439,Mime Jr.,Psychic,Soundproof/Filter/Technician,20,25,45,70,90,60,310
440,Happiny,Normal,Natural Cure/Serene Grace/Friend Guard,100,5,5,15,65,30,220
441,Chatot,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,76,65,45,92,42,91,411
442,Spiritomb,Ghost/Dark,Pressure/Infiltrator,50,92,108,92,108,35,485
443,Gible,Dragon/Ground,Sand Veil/Rough Skin,58,70,45,40,45,42,300
444,Gabite,Dragon/Ground,Sand Veil/Rough Skin,68,90,65,50,55,82,410
445,Garchomp,Dragon/Ground,Sand Veil/Rough Skin,108,130,95,80,85,102,600
446,Munchlax,Normal,Pickup/Thick Fat/Gluttony,135,85,40,40,85,5,390
447,Riolu,Fighting,Steadfast/Inner Focus/Prankster,40,70,40,35,40,60,285
448,Lucario,Fighting/Steel,Steadfast/Inner Focus/Justified,70,110,70,115,70,90,525
449,Hippopotas,Ground,Sand Stream/Sand Force,68,72,78,38,42,32,330
450,Hippowdon,Ground,Sand Stream/Sand Force,108,112,118,68,72,47,525
451,Skorupi,Poison/Bug,Battle Armor/Sniper/Keen Eye,40,50,90,30,55,65,330
452,Drapion,Poison/Dark,Battle Armor/Sniper/Keen Eye,70,90,110,60,75,95,500
453,Croagunk,Poison/Fighting,Anticipation/Dry Skin/Poison Touch,48,61,40,61,40,50,300
454,Toxicroak,Poison/Fighting,Anticipation/Dry Skin/Poison Touch,83,106,65,86,65,85,490
455,Carnivine,Grass,Levitate,74,100,72,90,72,46,454
456,Finneon,Water,Swift Swim/Storm Drain/Water Veil,49,49,56,49,61,66,330
457,Lumineon,Water,Swift Swim/Storm Drain/Water Veil,69,69,76,69,86,91,460
458,Mantyke,Water/Flying,Swift Swim/Water Absorb/Water Veil,45,20,50,60,120,50,345
459,Snover,Grass/Ice,Snow Warning/Soundproof,60,62,50,62,60,40,334
460,Abomasnow,Grass/Ice,Snow Warning/Soundproof,90,92,75,92,85,60,494
461,Weavile,Dark/Ice,Pressure/Pickpocket,70,120,65,45,85,125,510
462,Magnezone,Electric/Steel,Magnet Pull/Sturdy/Analytic,70,70,115,130,90,60,535
463,Lickilicky,Normal,Own Tempo/Oblivious/Cloud Nine,110,85,95,80,95,50,515
464,Rhyperior,Ground/Rock,Lightningrod/Solid Rock/Reckless,115,140,130,55,55,40,535
465,Tangrowth,Grass,Chlorophyll/Leaf Guard/Regenerator,100,100,125,110,50,50,535
466,Electivire,Electric,Motor Drive/Vital Spirit,75,123,67,95,85,95,540
467,Magmortar,Fire,Flame Body/Vital Spirit,75,95,67,125,95,83,540
468,Togekiss,Normal/Flying,Hustle/Serene Grace/Super Luck,85,50,95,120,115,80,545
469,Yanmega,Bug/Flying,Speed Boost/Tinted Lens/Frisk,86,76,86,116,56,95,515
470,Leafeon,Grass,Leaf Guard/Chlorophyll,65,110,130,60,65,95,525
471,Glaceon,Ice,Snow Cloak/Ice Body,65,60,110,130,95,65,525
472,Gliscor,Ground/Flying,Hyper Cutter/Sand Veil/Poison Heal,75,95,125,45,75,95,510
473,Mamoswine,Ice/Ground,Oblivious/Snow Cloak/Thick Fat,110,130,80,70,60,80,530
474,Porygon-Z,Normal,Adaptability/Download/Analytic,85,80,70,135,75,90,535
475,Gallade,Psychic/Fighting,Steadfast/Justified,68,125,65,65,115,80,518
476,Probopass,Rock/Steel,Sturdy/Magnet Pull/Sand Force,60,55,145,75,150,40,525
477,Dusknoir,Ghost,Pressure,45,100,135,65,135,45,525
478,Froslass,Ice/Ghost,Snow Cloak/Cursed Body,70,80,70,80,70,110,480
479A,Rotom,Electric/Ghost,Levitate,50,50,77,95,77,91,440
479B,Rotom-H,Electric/Fire,Levitate,50,65,107,105,107,86,520
479C,Rotom-W,Electric/Water,Levitate,50,65,107,105,107,86,520
479D,Rotom-F,Electric/Ice,Levitate,50,65,107,105,107,86,520
479E,Rotom-S,Electric/Flying,Levitate,50,65,107,105,107,86,520
479F,Rotom-M,Electric/Grass,Levitate,50,65,107,105,107,86,520
480,Uxie,Psychic,Levitate,75,75,130,75,130,95,580
481,Mesprit,Psychic,Levitate,80,105,105,105,105,80,580
482,Azelf,Psychic,Levitate,75,125,70,125,70,115,580
483,Dialga,Steel/Dragon,Pressure/Telepathy,100,120,120,150,100,90,680
484,Palkia,Water/Dragon,Pressure/Telepathy,90,120,100,150,120,100,680
485,Heatran,Fire/Steel,Flash Fire/Flame Body,91,90,106,130,106,77,600
486,Regigigas,Normal,Slow Start,110,160,110,80,110,100,670
487A,Giratina,Ghost/Dragon,Pressure/Telepathy,150,100,120,100,120,90,680
487B,Giratina-O,Ghost/Dragon,Levitate,150,120,100,120,100,90,680
488,Cresselia,Psychic,Levitate,120,70,120,75,130,85,600
489,Phione,Water,Hydration,80,80,80,80,80,80,480
490,Manaphy,Water,Hydration,100,100,100,100,100,100,600
491,Darkrai,Dark,Bad Dreams,70,90,90,135,90,125,600
492A,Shaymin,Grass,Natural Cure,100,100,100,100,100,100,600
492B,Shaymin-S,Grass/Flying,Serene Grace,100,103,75,120,75,127,600
493,Arceus,Normal,Multitype,120,120,120,120,120,120,720
494,Victini,Psychic/Fire,Victory Star,100,100,100,100,100,100,600
495,Snivy,Grass,Overgrow/Contrary,45,45,55,45,55,63,308
496,Servine,Grass,Overgrow/Contrary,60,60,75,60,75,83,413
497,Serperior,Grass,Overgrow/Contrary,75,75,95,75,95,113,528
498,Tepig,Fire,Blaze/Thick Fat,65,63,45,45,45,45,308
499,Pignite,Fire/Fighting,Blaze/Thick Fat,90,93,55,70,55,55,418
500,Emboar,Fire/Fighting,Blaze/Reckless,110,123,65,100,65,65,528
501,Oshawott,Water,Torrent/Shell Armor,55,55,45,63,45,45,308
502,Dewott,Water,Torrent/Shell Armor,75,75,60,83,60,60,413
503,Samurott,Water,Torrent/Shell Armor,95,100,85,108,70,70,528
504,Patrat,Normal,Run Away/Keen Eye/Analytic,45,55,39,35,39,42,255
505,Watchog,Normal,Illuminate/Keen Eye/Analytic,60,85,69,60,69,77,420
506,Lillipup,Normal,Vital Spirit/Pickup/Run Away,45,60,45,25,45,55,275
507,Herdier,Normal,Intimidate/Sand Rush/Scrappy,65,80,65,35,65,60,370
508,Stoutland,Normal,Intimidate/Sand Rush/Scrappy,85,100,90,45,90,80,490
509,Purrloin,Dark,Limber/Unburden/Prankster,41,50,37,50,37,66,281
510,Liepard,Dark,Limber/Unburden/Prankster,64,88,50,88,50,106,446
511,Pansage,Grass,Gluttony/Overgrow,50,53,48,53,48,64,316
512,Simisage,Grass,Gluttony/Overgrow,75,98,63,98,63,101,498
513,Pansear,Fire,Gluttony/Blaze,50,53,48,53,48,64,316
514,Simisear,Fire,Gluttony/Blaze,75,98,63,98,63,101,498
515,Panpour,Water,Gluttony/Torrent,50,53,48,53,48,64,316
516,Simipour,Water,Gluttony/Torrent,75,98,63,98,63,101,498
517,Munna,Psychic,Forewarn/Synchronize/Telepathy,76,25,45,67,55,24,292
518,Musharna,Psychic,Forewarn/Synchronize/Telepathy,116,55,85,107,95,29,487
519,Pidove,Normal/Flying,Big Pecks/Super Luck/Rivalry,50,55,50,36,30,43,264
520,Tranquill,Normal/Flying,Big Pecks/Super Luck/Rivalry,62,77,62,50,42,65,358
521,Unfezant,Normal/Flying,Big Pecks/Super Luck/Rivalry,80,105,80,65,55,93,478
522,Blitzle,Electric,Lightningrod/Motor Drive/Sap Sipper,45,60,32,50,32,76,295
523,Zebstrika,Electric,Lightningrod/Motor Drive/Sap Sipper,75,100,63,80,63,116,497
524,Roggenrola,Rock,Sturdy/Sand Force,55,75,85,25,25,15,280
525,Boldore,Rock,Sturdy/Sand Force,70,105,105,50,40,20,390
526,Gigalith,Rock,Sturdy/Sand Force,85,135,130,60,70,25,505
527,Woobat,Psychic/Flying,Unaware/Klutz/Simple,55,45,43,55,43,72,313
528,Swoobat,Psychic/Flying,Unaware/Klutz/Simple,67,57,55,77,55,114,425
529,Drilbur,Ground,Sand Rush/Sand Force/Mold Breaker,60,85,40,30,45,68,328
530,Excadrill,Ground/Steel,Sand Rush/Sand Force/Mold Breaker,110,135,60,50,65,88,508
531,Audino,Normal,Healer/Regenerator/Klutz,103,60,86,60,86,50,445
532,Timburr,Fighting,Guts/Sheer Force/Iron Fist,75,80,55,25,35,35,305
533,Gurdurr,Fighting,Guts/Sheer Force/Iron Fist,85,105,85,40,50,40,405
534,Conkeldurr,Fighting,Guts/Sheer Force/Iron Fist,105,140,95,55,65,45,505
535,Tympole,Water,Swift Swim/Hydration/Water Absorb,50,50,40,50,40,64,294
536,Palpitoad,Water/Ground,Swift Swim/Hydration/Water Absorb,75,65,55,65,55,69,384
537,Seismitoad,Water/Ground,Swift Swim/Poison Touch/Water Absorb,105,85,75,85,75,74,499
538,Throh,Fighting,Guts/Inner Focus/Mold Breaker,120,100,85,30,85,45,465
539,Sawk,Fighting,Sturdy/Inner Focus/Mold Breaker,75,125,75,30,75,85,465
540,Sewaddle,Bug/Grass,Swarm/Chlorophyll/Overcoat,45,53,70,40,60,42,310
541,Swadloon,Bug/Grass,Leaf Guard/Chlorophyll/Overcoat,55,63,90,50,80,42,380
542,Leavanny,Bug/Grass,Swarm/Chlorophyll/Overcoat,75,103,80,70,70,92,490
543,Venipede,Bug/Poison,Poison Point/Swarm/Quick Feet,30,45,59,30,39,57,260
544,Whirlipede,Bug/Poison,Poison Point/Swarm/Quick Feet,40,55,99,40,79,47,360
545,Scolipede,Bug/Poison,Poison Point/Swarm/Quick Feet,60,90,89,55,69,112,475
546,Cottonee,Grass,Prankster/Infiltrator/Chlorophyll,40,27,60,37,50,66,280
547,Whimsicott,Grass,Prankster/Infiltrator/Chlorophyll,60,67,85,77,75,116,480
548,Petilil,Grass,Chlorophyll/Own Tempo/Leaf Guard,45,35,50,70,50,30,280
549,Lilligant,Grass,Chlorophyll/Own Tempo/Leaf Guard,70,60,75,110,75,90,480
550A,Basculin-R,Water,Reckless/Adaptability/Mold Breaker,70,92,65,80,55,98,460
550B,Basculin-B,Water,Rock Head/Adaptability/Mold Breaker,70,92,65,80,55,98,460
551,Sandile,Ground/Dark,Intimidate/Moxie/Anger Point,50,72,35,35,35,65,292
552,Krokorok,Ground/Dark,Intimidate/Moxie/Anger Point,60,82,45,45,45,74,351
553,Krookodile,Ground/Dark,Intimidate/Moxie/Anger Point,95,117,70,65,70,92,509
554,Darumaka,Fire,Hustle/Inner Focus,70,90,45,15,45,50,315
555A,Darmanitan,Fire,Sheer Force/Zen Mode,105,140,55,30,55,95,480
555B,Darmanitan-Z,Fire/Psychic,Zen Mode,105,30,105,140,105,55,540
556,Maractus,Grass,Water Absorb/Chlorophyll/Storm Drain,75,86,67,106,67,60,461
557,Dwebble,Bug/Rock,Sturdy/Shell Armor/Weak Armor,50,65,85,35,35,55,325
558,Crustle,Bug/Rock,Sturdy/Shell Armor/Weak Armor,70,95,125,65,75,45,475
559,Scraggy,Dark/Fighting,Shed Skin/Moxie/Intimidate,50,75,70,35,70,48,348
560,Scrafty,Dark/Fighting,Shed Skin/Moxie/Intimidate,65,90,115,45,115,58,488
561,Sigilyph,Psychic/Flying,Wonder Skin /Magic Guard/Tinted Lens,72,58,80,103,80,97,490
562,Yamask,Ghost,Mummy,38,30,85,55,65,30,303
563,Cofagrigus,Ghost,Mummy,58,50,145,95,105,30,483
564,Tirtouga,Water/Rock,Solid Rock/Sturdy/Swift Swim,54,78,103,53,45,22,355
565,Carracosta,Water/Rock,Solid Rock/Sturdy/Swift Swim,74,108,133,83,65,32,495
566,Archen,Rock/Flying,Defeatist,55,112,45,74,45,70,401
567,Archeops,Rock/Flying,Defeatist,75,140,65,112,65,110,567
568,Trubbish,Poison,Stench/Sticky Hold/Aftermath,50,50,62,40,62,65,329
569,Garbodor,Poison,Stench/Weak Armor/Aftermath,80,95,82,60,82,75,474
570,Zorua,Dark,Illusion,40,65,40,80,40,65,330
571,Zoroark,Dark,Illusion,60,105,60,120,60,105,510
572,Minccino,Normal,Cute Charm/Technician/Skill Link,55,50,40,40,40,75,300
573,Cinccino,Normal,Cute Charm/Technician/Skill Link,75,95,60,65,60,115,470
574,Gothita,Psychic,Frisk/Shadow Tag,45,30,50,55,65,45,290
575,Gothorita,Psychic,Frisk/Shadow Tag,60,45,70,75,85,55,390
576,Gothitelle,Psychic,Frisk/Shadow Tag,70,55,95,95,110,65,490
577,Solosis,Psychic,Overcoat/Magic Guard/Regenerator,45,30,40,105,50,20,290
578,Duosion,Psychic,Overcoat/Magic Guard/Regenerator,65,40,50,125,60,30,370
579,Reuniclus,Psychic,Overcoat/Magic Guard/Regenerator,110,65,75,125,85,30,490
580,Ducklett,Water/Flying,Keen Eye/Big Pecks/Hydration,62,44,50,44,50,55,305
581,Swanna,Water/Flying,Keen Eye/Big Pecks/Hydration,75,87,63,87,63,98,473
582,Vanillite,Ice,Ice Body/Weak Armor,36,50,50,65,60,44,305
583,Vanillish,Ice,Ice Body/Weak Armor,51,65,65,80,75,59,395
584,Vanilluxe,Ice,Ice Body/Weak Armor,71,95,85,110,95,79,535
585,Deerling,Normal/Grass,Chlorophyll/Sap Sipper/Serene Grace,60,60,50,40,50,75,335
586,Sawsbuck,Normal/Grass,Chlorophyll/Sap Sipper/Serene Grace,80,100,70,60,70,95,475
587,Emolga,Electric/Flying,Static/Motor Drive,55,75,60,75,60,103,428
588,Karrablast,Bug,Swarm/Shed Skin/No Guard,50,75,45,40,45,60,315
589,Escavalier,Bug/Steel,Swarm/Shell Armor/Overcoat,70,135,105,60,105,20,495
590,Foongus,Grass/Poison,Effect Spore/Regenerator,69,55,45,55,55,15,294
591,Amoonguss,Grass/Poison,Effect Spore/Regenerator,114,85,70,85,80,30,464
592,Frillish,Water/Ghost,Water Absorb/Cursed Body/Damp,55,40,50,65,85,40,335
593,Jellicent,Water/Ghost,Water Absorb/Cursed Body/Damp,100,60,70,85,105,60,480
594,Alomomola,Water,Healer/Hydration/Regenerator,165,75,80,40,45,65,470
595,Joltik,Bug/Electric,Compoundeyes/Unnerve/Swarm,50,47,50,57,50,65,319
596,Galvantula,Bug/Electric,Compoundeyes/Unnerve/Swarm,70,77,60,97,60,108,472
597,Ferroseed,Grass/Steel,Iron Barbs,44,50,91,24,86,10,305
598,Ferrothorn,Grass/Steel,Iron Barbs,74,94,131,54,116,20,489
599,Klink,Steel,Plus/Minus/Clear Body,40,55,70,45,60,30,300
600,Klang,Steel,Plus/Minus/Clear Body,60,80,95,70,85,50,440
601,Klinklang,Steel,Plus/Minus/Clear Body,60,100,115,70,85,90,520
602,Tynamo,Electric,Levitate,35,55,40,45,40,60,275
603,Eelektrik,Electric,Levitate,65,85,70,75,70,40,405
604,Eelektross,Electric,Levitate,85,115,80,105,80,50,515
605,Elgyem,Psychic,Telepathy/Synchronize/Analytic,55,55,55,85,55,30,335
606,Beheeyem,Psychic,Telepathy/Synchronize/Analytic,75,75,75,125,95,40,485
607,Litwick,Ghost/Fire,Flash Fire/Flame Body/Shadow Tag,50,30,55,65,55,20,275
608,Lampent,Ghost/Fire,Flash Fire/Flame Body/Shadow Tag,60,40,60,95,60,55,370
609,Chandelure,Ghost/Fire,Flash Fire/Flame Body/Shadow Tag,60,55,90,145,90,80,520
610,Axew,Dragon,Rivalry/Mold Breaker/Unnerve,46,87,60,30,40,57,320
611,Fraxure,Dragon,Rivalry/Mold Breaker/Unnerve,66,117,70,40,50,67,410
612,Haxorus,Dragon,Rivalry/Mold Breaker/Unnerve,76,147,90,60,70,97,540
613,Cubchoo,Ice,Snow Cloak/Rattled,55,70,40,60,40,40,305
614,Beartic,Ice,Snow Cloak/Swift Swim,95,110,80,70,80,50,485
615,Cryogonal,Ice,Levitate,70,50,30,95,135,105,485
616,Shelmet,Bug,Hydration/Shell Armor/Overcoat,50,40,85,40,65,25,305
617,Accelgor,Bug,Hydration/Sticky Hold/Unburden,80,70,40,100,60,145,495
618,Stunfisk,Ground/Electric,Static/Limber/Sand Veil,109,66,84,81,99,32,471
619,Mienfoo,Fighting,Inner Focus/Regenerator/Reckless,45,85,50,55,50,65,350
620,Mienshao,Fighting,Inner Focus/Regenerator/Reckless,65,125,60,95,60,105,510
621,Druddigon,Dragon,Rough Skin/Sheer Force/Mold Breaker,77,120,90,60,90,48,485
622,Golett,Ground/Ghost,Iron Fist/Klutz/No Guard,59,74,50,35,50,35,303
623,Golurk,Ground/Ghost,Iron Fist/Klutz/No Guard,89,124,80,55,80,55,483
624,Pawniard,Dark/Steel,Defiant/Inner Focus/Pressure,45,85,70,40,40,60,340
625,Bisharp,Dark/Steel,Defiant/Inner Focus/Pressure,65,125,100,60,70,70,490
626,Bouffalant,Normal,Reckless/Sap Sipper/Soundproof,95,110,95,40,95,55,490
627,Rufflet,Normal/Flying,Keen Eye/Sheer Force/Hustle,70,83,50,37,50,60,350
628,Braviary,Normal/Flying,Keen Eye/Sheer Force/Defiant,100,123,75,57,75,80,510
629,Vullaby,Dark/Flying,Big Pecks/Overcoat/Weak Armor,70,55,75,45,65,60,370
630,Mandibuzz,Dark/Flying,Big Pecks/Overcoat/Weak Armor,110,65,105,55,95,80,510
631,Heatmor,Fire,Gluttony/Flash Fire/White Smoke,85,97,66,105,66,65,484
632,Durant,Bug/Steel,Swarm/Hustle/Truant,58,109,112,48,48,109,484
633,Deino,Dark/Dragon,Hustle,52,65,50,45,50,38,300
634,Zweilous,Dark/Dragon,Hustle,72,85,70,65,70,58,420
635,Hydreigon,Dark/Dragon,Levitate,92,105,90,125,90,98,600
636,Larvesta,Bug/Fire,Flame Body/Swarm,55,85,55,50,55,60,360
637,Volcarona,Bug/Fire,Flame Body/Swarm,85,60,65,135,105,100,550
638,Cobalion,Steel/Fighting,Justified,91,90,129,90,72,108,580
639,Terrakion,Rock/Fighting,Justified,91,129,90,72,90,108,580
640,Virizion,Grass/Fighting,Justified,91,90,72,90,129,108,580
641A,Tornadus,Flying,Prankster/Defiant,79,115,70,125,80,111,580
